Time_s,Velocity_Smooth_m_s,Velocity_Uncertainty_m_s
2.594851561999999762e-06,6.969201270136582593e+01,2.556059863897136575e-01
2.594859375000000045e-06,6.961954803298620220e+01,2.560950940592975900e-01
2.594867187000000008e-06,6.954512765855157852e+01,2.565860141917889470e-01
2.594875000000000291e-06,6.946894978800246179e+01,2.570788832770301569e-01
2.594882812000000254e-06,6.939122693134726205e+01,2.575735860360992002e-01
2.594890625000000114e-06,6.931218501745202332e+01,2.580702600943957092e-01
2.594898437000000076e-06,6.923206238680855051e+01,2.585687893677945381e-01
2.594906249999999936e-06,6.915110866372324949e+01,2.590693126317337169e-01
2.594914061999999899e-06,6.906958351370504090e+01,2.595717129887907260e-01
2.594921875000000182e-06,6.898775529990483335e+01,2.600761303792277213e-01
2.594929687000000145e-06,6.890589964675260148e+01,2.605824470841305862e-01
2.594937500000000005e-06,6.882429792576894556e+01,2.610908042235448590e-01
2.594945311999999967e-06,6.874323567924780320e+01,2.616010832489338855e-01
2.594953124999999827e-06,6.866300099707964932e+01,2.621134264753487986e-01
2.594960936999999790e-06,6.858388286384126786e+01,2.626277145162330684e-01
2.594968750000000073e-06,6.850616949559478996e+01,2.631440908972145776e-01
2.594976562000000036e-06,6.843014668304684278e+01,2.636624353852153324e-01
2.594984375000000319e-06,6.835609615986929555e+01,2.641828927322297238e-01
2.594992187000000282e-06,6.828429401435310808e+01,2.643925514238130159e-01
2.594999999999999718e-06,6.821500916043338236e+01,2.646025700569725192e-01
2.595007812000000104e-06,6.814850188438209955e+01,2.648128956646764176e-01
2.595015624999999964e-06,6.808502248254521305e+01,2.650235828906084001e-01
2.595023436999999927e-06,6.802481000163746216e+01,2.652345786016300777e-01
2.595031250000000210e-06,6.796809109318897413e+01,2.654459376181141361e-01
2.595039062000000173e-06,6.791507899136159665e+01,2.656576066400264113e-01
2.595046875000000033e-06,6.786597262001156139e+01,2.658696406652445998e-01
2.595054686999999995e-06,6.782095583652153437e+01,2.660819862261127322e-01
2.595062499999999856e-06,6.778019681116096251e+01,2.662946984988701082e-01
2.595070311999999818e-06,6.774384754438632683e+01,2.665077238474279353e-01
2.595078125000000102e-06,6.771204352318932251e+01,2.667211176272830109e-01
2.595085937000000064e-06,6.768490350684466250e+01,2.669348260330978717e-01
2.595093749999999924e-06,6.766252944351771248e+01,2.671489046004944523e-01
2.595101562000000310e-06,6.764500650886039068e+01,2.673632993541468772e-01
2.595109374999999747e-06,6.763240325592616387e+01,2.675780660106398812e-01
2.595117186999999709e-06,6.762477187185123739e+01,2.677931504238450500e-01
2.595124999999999993e-06,6.762214853097611922e+01,2.680086084922824186e-01
2.595132811999999955e-06,6.762455382964782302e+01,2.682243858981313567e-01
2.595140625000000239e-06,6.763199329885947009e+01,2.684405387227316031e-01
2.595148437000000201e-06,6.764445797853295517e+01,2.686570124758161926e-01
2.595156250000000061e-06,6.766192504425680454e+01,2.688738634224118740e-01
2.595164062000000023e-06,6.768435847709645259e+01,2.690910368990108159e-01
2.595171874999999884e-06,6.771170976312639311e+01,2.693085893552347176e-01
2.595179686999999846e-06,6.774391861634026668e+01,2.695264659534883367e-01
2.595187500000000130e-06,6.778091371234174289e+01,2.697447233289267943e-01
2.595195312000000092e-06,6.782261342573893614e+01,2.699633064690152850e-01
2.595203124999999952e-06,6.786892656354199005e+01,2.701822721953505146e-01
2.595210937000000338e-06,6.791975308554881963e+01,2.704015653196839009e-01
2.595218749999999775e-06,6.797498480652907915e+01,2.706212428509328083e-01
2.595226561999999737e-06,6.803450607559072694e+01,2.708412494242847246e-01
2.595234375000000021e-06,6.809819442564533176e+01,2.710616422369932499e-01
2.595242186999999983e-06,6.816592118915063736e+01,2.712823657467541838e-01
2.595250000000000267e-06,6.823755207894741659e+01,2.712524131052654330e-01
2.595257812000000229e-06,6.831294773024804101e+01,2.712224709096917596e-01
2.595265625000000089e-06,6.839196420029581702e+01,2.711925314921496688e-01
2.595273437000000052e-06,6.847445342907069232e+01,2.711626025144501795e-01
2.595281249999999912e-06,6.856026365426590985e+01,2.711326763120975869e-01
2.595289061999999874e-06,6.864923978724566211e+01,2.711027605435218368e-01
2.595296875000000158e-06,6.874122374471551211e+01,2.710728475476092969e-01
2.595304687000000120e-06,6.883605474164852467e+01,2.710429449794145018e-01
2.595312499999999980e-06,6.893356954363467537e+01,2.710130451812050589e-01
2.595320311999999943e-06,6.903360268200410133e+01,2.709831558046560396e-01
2.595328124999999803e-06,6.913598663449558046e+01,2.709532691954159023e-01
2.595335936999999765e-06,6.924055197335215439e+01,2.709233930017852510e-01
2.595343750000000049e-06,6.934712748205966193e+01,2.708935195727880108e-01
2.595351562000000011e-06,6.945554024652574299e+01,2.708636565533561469e-01
2.595359375000000295e-06,6.956561572302986463e+01,2.708337962958864975e-01
2.595367187000000257e-06,6.967717778342887414e+01,2.708039464419411679e-01
2.595375000000000117e-06,6.979004874600663300e+01,2.707740993472914082e-01
2.595382812000000080e-06,6.990404939221818381e+01,2.707442626501285754e-01
2.595390624999999940e-06,7.001899897413630924e+01,2.707144287095954449e-01
