Time_s,Noise_Fraction
2.544499999999999948e-06,8.190030365582071092e-02
2.544507811999999910e-06,8.178719917601010025e-02
2.544515625000000194e-06,8.167439224193653868e-02
2.544523437000000156e-06,8.156191044128975609e-02
2.544531250000000016e-06,8.144972369470900031e-02
2.544539061999999979e-06,8.133785944524880851e-02
2.544546874999999839e-06,8.122628778569798702e-02
2.544554686999999801e-06,8.111503601560055010e-02
2.544562500000000085e-06,8.100407439839259205e-02
2.544570312000000047e-06,8.089343009122089423e-02
2.544578125000000331e-06,8.078307352669610031e-02
2.544585937000000293e-06,8.067303172064600736e-02
2.544593749999999730e-06,8.056327527341790307e-02
2.544601562000000116e-06,8.045383106057035771e-02
2.544609374999999976e-06,8.034466984875440754e-02
2.544617186999999938e-06,8.023581837436970232e-02
2.544625000000000222e-06,8.012724756890700351e-02
2.544632812000000184e-06,8.001898403067118914e-02
2.544640625000000044e-06,7.991099885461037944e-02
2.544648437000000007e-06,7.980331850195278298e-02
2.544656249999999867e-06,7.969591422971980532e-02
2.544664061999999829e-06,7.958881236311225738e-02
2.544671875000000113e-06,7.948198431983898027e-02
2.544679687000000075e-06,7.937545629011205639e-02
2.544687499999999935e-06,7.926919985097519161e-02
2.544695312000000321e-06,7.916324105863983829e-02
2.544703124999999758e-06,7.905755164816444247e-02
2.544710936999999720e-06,7.895215754277283560e-02
2.544718750000000004e-06,7.884703063417021485e-02
2.544726561999999966e-06,7.886416217620163815e-02
2.544734375000000250e-06,7.888130335879421640e-02
2.544742187000000212e-06,7.889844979894082566e-02
2.544750000000000073e-06,7.891560589127288861e-02
2.544757812000000035e-06,7.893276724897692331e-02
2.544765624999999895e-06,7.894993827051099977e-02
2.544773436999999857e-06,7.896711456524856121e-02
2.544781250000000141e-06,7.898430053548118057e-02
2.544789062000000103e-06,7.900149178676224571e-02
2.544796874999999964e-06,7.901869272522098198e-02
2.544804686999999926e-06,7.903589895258955611e-02
2.544812499999999786e-06,7.905311487883889821e-02
2.544820311999999748e-06,7.907033610187304273e-02
2.544828125000000032e-06,7.908756703551154954e-02
2.544835936999999994e-06,7.910480327382347909e-02
2.544843750000000278e-06,7.912204923448203087e-02
2.544851562000000240e-06,7.913930050771815494e-02
2.544859375000000101e-06,7.915656151506186844e-02
2.544867187000000063e-06,7.917382784290288855e-02
2.544874999999999923e-06,7.919110391663312931e-02
2.544882811999999885e-06,7.920838531879412225e-02
2.544890625000000169e-06,7.922567647864663110e-02
2.544898437000000131e-06,7.924297297487711833e-02
2.544906249999999992e-06,7.926027924061926355e-02
2.544914061999999954e-06,7.927759085070326672e-02
2.544921874999999814e-06,7.929491224213988665e-02
2.544929686999999776e-06,7.931223898589602472e-02
2.544937500000000060e-06,7.932957552286651337e-02
2.544945312000000023e-06,7.934691742014805815e-02
2.544953125000000306e-06,7.936426912252467214e-02
2.544960937000000269e-06,7.938162619321964542e-02
2.544968750000000129e-06,7.939899308090940522e-02
2.544976562000000091e-06,7.941636534494066202e-02
2.544984374999999951e-06,7.944325931580714650e-02
2.544992186999999914e-06,7.947016806216591900e-02
2.545000000000000197e-06,7.949709849161980257e-02
2.545007812000000160e-06,7.952404372896193507e-02
2.545015625000000020e-06,7.955101069118773738e-02
2.545023436999999982e-06,7.957799249379178541e-02
2.545031249999999842e-06,7.960499606317983368e-02
2.545039061999999805e-06,7.963201450552612193e-02
2.545046875000000088e-06,7.965905475666883173e-02
2.545054687000000051e-06,7.968610991344005079e-02
2.545062500000000334e-06,7.971318692112970561e-02
2.545070312000000297e-06,7.974027886721168912e-02
2.545078124999999733e-06,7.976739270644259139e-02
2.545085937000000119e-06,7.979452151692639772e-02
2.545093749999999979e-06,7.982167226290434736e-02
2.545101561999999942e-06,7.984883801308116646e-02
2.545109375000000225e-06,7.987602574121244192e-02
2.545117187000000188e-06,7.990322850658300446e-02
2.545125000000000048e-06,7.993045329247644437e-02
2.545132812000000010e-06,7.995769314874598410e-02
2.545140624999999870e-06,7.998495506822116130e-02
2.545148436999999833e-06,8.001223209130139957e-02
2.545156250000000116e-06,8.003953122038486023e-02
2.545164062000000079e-06,8.006684548639485255e-02
2.545171874999999939e-06,8.009418190131636917e-02
2.545179687000000325e-06,8.012153348658468399e-02
2.545187499999999761e-06,8.014890726378534613e-02
2.545195311999999724e-06,8.017629624484476358e-02
2.545203125000000007e-06,8.020370746097925385e-02
2.545210936999999970e-06,8.023113391457646626e-02
2.545218750000000253e-06,8.025858264650183316e-02
2.545226562000000216e-06,8.028604664959217152e-02
2.545234375000000076e-06,8.031353297437747452e-02
2.545242187000000038e-06,8.034103460412715669e-02
2.545249999999999898e-06,8.036855859905567279e-02
2.545257811999999861e-06,8.035305797535724492e-02
2.545265625000000144e-06,8.033756134663348758e-02
2.545273437000000107e-06,8.032207267631079339e-02
2.545281249999999967e-06,8.030658799557946481e-02
2.545289061999999929e-06,8.029111126481100480e-02
2.545296874999999789e-06,8.027563851825857133e-02
2.545304686999999752e-06,8.026017371324410676e-02
2.545312500000000035e-06,8.024471288707843430e-02
2.545320311999999998e-06,8.022925999403901498e-02
2.545328125000000281e-06,8.021381107449081227e-02
2.545335937000000244e-06,8.019837007966869324e-02
2.545343750000000104e-06,8.018293305298988816e-02
2.545351562000000066e-06,8.016750394264850199e-02
2.545359374999999926e-06,8.015207879511052069e-02
2.545367186999999889e-06,8.013666155553444970e-02
2.545375000000000172e-06,8.012124827342982647e-02
2.545382812000000135e-06,8.010584289092473331e-02
2.545390624999999995e-06,8.009044146056958080e-02
2.545398436999999957e-06,8.007504792146220851e-02
2.545406249999999817e-06,8.005965832919119396e-02
2.545414061999999780e-06,8.004427661982926878e-02
2.545421875000000063e-06,8.002889885199805653e-02
2.545429687000000026e-06,8.001352895875028792e-02
2.545437500000000309e-06,7.999816300173713535e-02
2.545445312000000272e-06,7.998280491099320211e-02
